name,ID
Drive-by Compromise,T1189
Exploit Public-Facing Application,T1190
External Remote Services,T1133
Hardware Additions,T1200
Replication Through Removable Media,T1091
Spearphishing Attachment,T1193
Spearphishing Link,T1192
Spearphishing via Service,T1194
Supply Chain Compromise,T1195
Trusted Relationship,T1199
Valid Accounts,T1078
