name,ID
Audio Capture,T1123
Automated Collection,T1119
Clipboard Data,T1115
Data from Information Repositories,T1213
Data from Local System,T1005
Data from Network Shared Drive,T1039
Data from Removable Media,T1025
Data Staged,T1074
Email Collection,T1114
Input Capture,T1056
Man in the Browser,T1185
Screen Capture,T1113
Video Capture,T1125
