name,ID
Automated Exfiltration,T1020
Data Compressed,T1002
Data Encrypted,T1022
Data Transfer Size Limits,T1030
Exfiltration Over Alternative Protocol,T1048
Exfiltration Over Command and Control Channel,T1041
Exfiltration Over Other Network Medium,T1011
Exfiltration Over Physical Medium,T1052
Scheduled Transfer,T1029
